ct       meas   map  mask kgv 
1.000000 84229 0 2560 15
1.020000 2309 0 0 0
1.040000 2309 0 0 0
1.060000 2309 0 0 0
1.080000 2309 0 0 0
1.100000 2309 0 0 0
1.120000 2309 0 0 0
1.140000 2309 0 0 0
1.160000 2309 0 0 0
1.180000 2309 0 0 0
1.200000 84229 0 2560 15
1.220000 2309 0 0 0
1.240000 2309 0 0 0
1.260000 2309 0 0 0
1.280000 2309 0 0 0
1.300000 2309 0 0 0
1.320000 2309 0 0 0
1.340000 2309 0 0 0
1.360000 2309 0 0 0
1.380000 2309 0 0 0
1.400000 84229 0 2560 15
1.420000 2309 0 0 0
1.440000 2309 0 0 0
1.460000 2309 0 0 0
1.480000 2309 0 0 0
1.500000 2309 0 0 0
1.520000 2309 0 0 0
1.540000 2309 0 0 0
1.560000 2309 0 0 0
1.580000 2309 0 0 0
1.600000 84229 0 2560 15
1.620000 2309 0 0 0
1.640000 2309 0 0 0
1.660000 2309 0 0 0
1.680000 2309 0 0 0
1.700000 2309 0 0 0
1.720000 2309 0 0 0
1.740000 2309 0 0 0
1.760000 2309 0 0 0
1.780000 2309 0 0 0
1.800000 84229 0 2560 15
1.820000 2309 0 0 0
1.840000 2309 0 0 0
1.860000 2309 0 0 0
1.880000 2309 0 0 0
1.900000 2309 0 0 0
1.920000 2309 0 0 0
1.940000 2309 0 0 0
1.960000 2309 0 0 0
1.980000 2309 0 0 0
2.000000 84229 0 2560 15
2.020000 2309 0 0 0
2.040000 2309 0 0 0
2.060000 2309 0 0 0
2.080000 2309 0 0 0
2.100000 2309 0 0 0
2.120000 2309 0 0 0
2.140000 2309 0 0 0
2.160000 2309 0 0 0
2.180000 2309 0 0 0
2.200000 84229 0 2560 15
2.220000 2309 0 0 0
2.240000 2309 0 0 0
2.260000 2309 0 0 0
2.280000 2309 0 0 0
2.300000 2309 0 0 0
2.320000 2309 0 0 0
2.340000 2309 0 0 0
2.360000 2309 0 0 0
2.380000 2309 0 0 0
2.400000 84229 0 2560 15
2.420000 2309 0 0 0
2.440000 2309 0 0 0
2.460000 2309 0 0 0
2.480000 2309 0 0 0
2.500000 2309 0 0 0
2.520000 2309 0 0 0
2.540000 2309 0 0 0
2.560000 2309 0 0 0
2.580000 2309 0 0 0
2.600000 84229 0 2560 15
2.620000 2309 0 0 0
2.640000 2309 0 0 0
2.660000 2309 0 0 0
2.680000 2309 0 0 0
2.700000 2309 0 0 0
2.720000 2309 0 0 0
2.740000 2309 0 0 0
2.760000 2309 0 0 0
2.780000 2309 0 0 0
2.800000 84229 0 2560 15
2.820000 2309 0 0 0
2.840000 2309 0 0 0
2.860000 2309 0 0 0
2.880000 2309 0 0 0
2.900000 2309 0 0 0
2.920000 2309 0 0 0
2.940000 2309 0 0 0
2.960000 2309 0 0 0
2.980000 2309 0 0 0
3.000000 84229 0 2560 15
